Text-ID	Sentence-ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance
BG_001	1	0.0014681799802929	0.0054317195899784	0.0022308325860649	0.0069405739195644	0.004583406727761	0.0032261500600725	0.0081734713166952	0.0036283887457102	0.984263241291046	0.0036895577795803	0.0117146521806716
BG_001	2	0.0011034108465537	0.0033879987895488	0.002610194729641	0.0022938190959393	0.0161589514464139	0.0049334648065268	0.025103386491537	0.0366013012826442	0.9659736752510072	0.0007933404413051	0.0185444820672273
BG_001	3	0.0063130161724984	0.0380740277469158	0.0023206726182252	0.0041305045597255	0.0140442745760083	0.0011137271067127	0.0092542096972465	0.0002796414191834	0.9127495288848876	0.0009406865574419	0.0561662353575229
BG_001	4	0.0027798723895102	0.5641198754310608	0.0028647249564528	0.0016268889885395	0.0315213687717914	0.0004007784009445	0.0057949861511588	0.0028069480322301	0.6145315170288086	0.0004538672510534	0.0081548178568482
BG_001	14	0.00202372437343	0.0047046332620084	0.0022607087157666	0.004730112850666	0.0066771460697054	0.0021234611049294	0.0138426003977656	0.0071200197562575	0.9880501627922058	0.0019557133782655	0.005758190061897
BG_001	17	0.0155842332169413	0.094195581972599	0.0026826015673577	0.0075013353489339	0.6593319177627563	0.0048861359246075	0.6006634831428528	0.0008340573403984	0.0737337470054626	0.0003528633678797	0.0585072599351406
BG_001	18	0.0018027587793767	0.3803702592849731	0.0035466297995299	0.001330780563876	0.5207558274269104	0.0016784757608547	0.0031794612295925	0.0079773236066102	0.0142442760989069	0.0008547629113309	0.0025316975079476
BG_001	23	0.0023046832066029	0.9904546141624452	0.0043314029462635	0.0048606726340949	0.0168682802468538	0.0023949483875185	0.0300028137862682	0.0017055292846634	0.0202396549284458	0.0015501006273552	0.0531014986336231
BG_001	31	0.0029159509576857	0.0135619891807436	0.001513214316219	0.0038276261184364	0.0057785888202488	0.0012797407107427	0.0082854833453893	0.0015112061519175	0.9743788838386536	0.0019444377394393	0.0261533521115779
BG_001	32	0.009795875288546	0.0834294110536575	0.0098130879923701	0.0126210851594805	0.0170736387372016	0.0062506031244993	0.9971814155578612	0.0018589054234325	0.0132173346355557	0.0070285946130752	0.0087243653833866
BG_001	36	0.00411441270262	0.0038807014934718	0.0020241404417902	0.0029759535100311	0.1976163536310196	0.006206031423062	0.004374514799565	0.9367353916168212	0.0063435733318328	0.0037654659245163	0.0034196525812149
BG_001	37	0.0033714538440108	0.0035766521468758	0.0025732070207595	0.005989427678287	0.0069097024388611	0.0025005405768752	0.0074303350411355	0.006905426736921	0.9875654578208924	0.0035435373429208	0.0049741137772798
BG_001	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BG_001	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
